"Year","Type of  Summary","Summary","Native American","Asian","Black","Hispanic/Latinx","White","Multi-racial","Unknown","Total"
"2023","Offer Summary","Stuyvesant High School (02M475)","1","489","7","20","158","36","51","762"
"2023","Offer Summary","The Bronx High School of Science (10X445)","2","422","34","44","157","28","44","731"
"2023","Offer Summary","The Brooklyn Latin School (14K449)","4","157","22","51","115","22","17","388"
"2023","Offer Summary","Total Offer","26","2129","120","267","1078","146","228","3994"
"2023","Offer Summary","Distribution of Total SHSAT Offers, by Ethnicity","0.65%","53.30%","3.00%","6.69%","26.99%","3.66%","5.71%","100.00%"
"2023","Discovery Summary","Discovery Participants","5","467","86","120","81","4","4","767"
"2023","Discovery Summary","Distribution of Discovery Participants","0.65%","60.89%","11.21%","15.65%","10.56%","0.52%","0.52%","100.00%"
"2024","Tester Summary","Total Testers","246","7,909","4,983","6,914","4,470","587","569","25,678"
"2024","Tester Summary","Distribution of Testers, by Ethnicity","1.0%","30.8%","19.4%","26.9%","17.4%","2.3%","2.2%","100.0%"
"2024","Offer Summary","Brooklyn Technical High School (13K430)","11","682","77","115","423","59","55","1,422"
"2024","Offer Summary","High School for Mathematics, Science and Engineering at City College (HSMSE) (05M692)","2","43","6","11","60","12","8","142"
"2024","Offer Summary","High School of American Studies at Lehman College (10X696)","2","24","8","19","44","5","9","111"
"2024","Offer Summary","Queens High School for the Sciences at York College (28Q687)","1","99","12","14","7","6","0","139"
"2024","Offer Summary","Staten Island Technical High School (31R605)","0","187","1","8","88","5","5","294"
"2024","Offer Summary","Stuyvesant High School (02M475)","1","496","10","16","127","41","53","744"
"2024","Offer Summary","The Bronx High School of Science (10X445)","1","389","26","71","158","35","32","712"
"2024","Offer Summary","The Brooklyn Latin School (14K449)","3","200","44","56","154","26","25","508"
"2024","Offer Summary","Total Offer","21","2,120","184","310","1,061","189","187","4,072"
"2024","Offer Summary","Distribution of Total SHSAT Offers, by Ethnicity","0.5%","52.1%","4.5%","7.6%","26.1%","4.6%","4.6%","100.0%"
"2024","Discovery Summary","Discovery Participants","9","445","97","168","68","5","0","792"
"2024","Discovery Summary","Distribution of Discovery Participants","1.1%","56.2%","12.2%","21.2%","8.6%","0.6%","0.0%","100.0%"
"2025","Tester Summary","Total Testers","8,401","4,764","6,760","697","259","4,478","574","25,933"
"2025","Tester Summary","Distribution of Testers, by Ethnicity","32.4%","18.4%","26.1%","2.7%","1.0%","17.3%","2.2%","100.0%"
"2025","Offer Summary","Brooklyn Technical High School (13K430)","691","51","102","77","5","422","55","1,403"
"2025","Offer Summary","High School for Mathematics, Science and Engineering at City College (HSMSE) (05M692)","61","9","19","11","1","74","7","182"
"2025","Offer Summary","High School of American Studies at Lehman College (10X696)","33","6","18","12","0","47","16","132"
"2025","Offer Summary","Queens High School for the Sciences at York College (28Q687)","117","6","6","4","1","8","6","148"
"2025","Offer Summary","Staten Island Technical High School (31R605)","192","1","5","5","0","78","8","289"
"2025","Offer Summary","Stuyvesant High School (02M475)","509","8","27","42","0","142","53","781"
"2025","Offer Summary","The Bronx High School of Science (10X445)","422","21","55","43","3","155","39","738"
"2025","Offer Summary","The Brooklyn Latin School (14K449)","128","18","45","23","3","116","17","350"
"2025","Offer Summary","Total Offer","2,153","120","277","217","13","1,042","201","4,023"
"2025","Offer Summary","Distribution of Total SHSAT Offers, by Ethnicity","53.5%","3.0%","6.9%","5.4%","0.3%","25.9%","5.0%","100.0%"
"2025","Discovery Summary","Discovery Participants","497","90","120","7","8","63","0","785"
"2025","Discovery Summary","Distribution of Discovery Participants","63.3%","11.5%","15.3%","0.9%","1.0%","8.0%","0.0%","100.0%"
